8
70
146.0,0.0,178.0,18.0,11.0,192.0,749.0,17.19
258.8,239.6,88.0,0.0,7.6,175.3,646.0,50.5
296.0,0.0,97.0,15.0,9.0,219.0,685.0,29.23
166.0,260.0,0.0,21.0,13.0,183.0,827.0,40.34
314.0,161.0,0.0,21.5,6.0,207.0,757.0,41.14
349.0,178.0,0.0,20.0,6.0,230.0,721.0,43.95
159.0,0.0,193.0,23.0,12.0,208.0,818.0,19.19
143.3,239.8,91.8,25.0,6.2,200.8,647.1,27.09
275.0,127.0,99.0,25.75,13.0,184.0,790.0,43.54
160.0,188.0,146.0,13.0,11.0,203.0,710.0,33.51
274.0,115.0,89.0,26.5,9.0,202.0,827.0,35.52
366.0,187.0,0.0,24.75,7.0,191.0,757.0,52.65
310.0,143.0,0.0,13.0,10.0,218.0,804.0,36.19
154.0,181.0,141.0,23.0,11.0,234.0,683.0,33.51
295.0,136.0,106.0,25.0,11.0,206.0,766.0,41.01
163.0,191.0,149.0,0.0,12.0,180.0,746.0,41.14
156.0,243.0,0.0,21.0,11.0,180.0,698.0,33.78
265.0,111.0,86.0,27.0,6.0,195.0,790.0,37.39
140.0,198.1,1.4,16.25,4.4,174.9,780.5,30.83
148.0,139.0,109.0,23.75,7.0,193.0,902.0,28.03
248.3,239.1,101.0,0.0,7.7,168.9,640.6,49.97
215.6,239.0,112.9,27.5,7.4,198.7,649.1,39.13
278.0,117.0,0.0,19.0,9.0,205.0,799.0,32.71
313.0,0.0,124.0,22.0,11.0,205.0,758.0,29.63
356.0,0.0,142.0,8.0,11.0,193.0,778.0,36.46
273.0,105.0,82.0,23.0,9.0,210.0,680.0,34.99
165.3,238.3,143.2,17.0,7.1,200.4,652.6,32.84
291.0,0.0,105.0,24.0,6.0,205.0,797.0,27.62
145.0,227.0,177.0,2.5,11.0,209.0,715.0,35.66
348.7,223.1,0.1,29.0,9.6,208.5,758.1,48.77
298.0,137.0,107.0,16.0,6.0,201.0,655.0,41.27
140.0,164.0,128.0,24.0,6.0,237.0,656.0,29.5
141.1,209.5,0.6,23.5,4.6,188.8,789.2,30.43
295.3,239.9,0.0,25.0,8.3,236.2,722.9,44.08
172.0,238.5,162.1,0.0,7.4,166.0,641.4,41.54
309.0,142.0,0.0,24.0,10.0,218.0,680.0,38.59
152.0,237.0,0.0,15.5,6.0,204.0,892.0,32.71
162.0,191.0,148.0,1.0,16.0,179.0,743.0,41.81
140.5,238.9,61.1,24.5,5.7,182.5,681.4,30.97
307.0,0.0,110.0,22.0,10.0,189.0,765.0,31.5
153.0,239.0,0.0,12.0,6.0,200.0,684.0,28.29
142.0,167.0,130.0,25.5,6.0,215.0,836.0,31.37
145.0,136.0,106.0,24.5,10.0,208.0,883.0,26.02
276.0,116.0,90.0,0.0,9.0,180.0,768.0,44.08
320.0,164.0,127.0,2.0,6.0,211.0,723.0,46.36
322.0,149.0,0.0,20.5,8.0,186.0,709.0,45.42
147.0,115.0,89.0,23.0,9.0,202.0,829.0,25.21
294.0,136.0,106.0,24.0,6.0,207.0,778.0,41.27
298.0,0.0,107.0,3.0,6.0,186.0,815.0,30.97
140.0,164.0,128.0,23.75,12.0,183.0,775.0,33.38
287.0,121.0,94.0,25.0,9.0,188.0,696.0,43.01
305.0,0.0,100.0,20.0,10.0,196.0,705.0,29.77
152.0,178.0,139.0,0.0,18.0,168.0,695.0,38.86
326.0,167.0,0.0,21.5,6.0,174.0,792.0,52.65
248.0,239.9,101.0,2.0,7.7,169.1,644.1,50.23
308.0,142.0,111.0,25.0,10.0,217.0,686.0,42.08
336.0,0.0,134.0,26.0,6.0,222.0,787.0,31.9
295.0,136.0,106.0,26.5,6.0,208.0,650.0,39.4
155.4,240.0,122.1,14.5,6.7,179.9,652.5,35.52
140.2,239.0,30.5,21.25,5.3,169.4,742.7,36.32
310.0,143.0,0.0,20.5,10.0,168.0,804.0,49.3
304.0,140.0,0.0,19.0,6.0,214.0,722.0,38.46
261.0,100.0,78.0,23.0,9.0,201.0,761.0,34.18
145.0,227.0,0.0,14.5,6.0,240.0,853.0,36.59
159.0,149.0,116.0,23.5,15.0,175.0,720.0,34.05
374.0,0.0,0.0,14.5,7.0,190.0,730.0,32.44
303.8,239.8,0.2,25.0,8.3,236.4,715.3,44.48
160.0,250.0,0.0,18.0,12.0,168.0,688.0,37.66
291.0,0.0,104.0,23.0,9.0,231.0,725.0,30.43
162.0,190.0,148.0,3.0,19.0,179.0,741.0,42.08
